CHIMALTENANGO,POCHUTA,Concejal III,P A N,VALDEMAR ARMANDO LOPEZ SALAZAR,VALDEMAR,ARMANDO,LOPEZ,SALAZAR,
CHIMALTENANGO,POCHUTA,Concejal IV,P P,GLADYS PATRICIA ORTEGA JUAREZ,GLADYS,PATRICIA,ORTEGA,JUAREZ,
CHIMALTENANGO,POCHUTA,Concejal Suplente I,UNE-GANA,NAPOLEON PICHOL NICOLAS,NAPOLEON,,PICHOL,NICOLAS,
CHIMALTENANGO,POCHUTA,Concejal Suplente II,P A N,MARTIN CHAMALE SAJBIN,MARTIN,,CHAMALE,SAJBIN,
CHIMALTENANGO,PATZICIA,Alcalde,LIDER,FRANCISCO MACU GONZALEZ,FRANCISCO,,MACU,GONZALEZ,
CHIMALTENANGO,PATZICIA,Síndico  I,LIDER,FIDENCIO CAN GABRIEL,FIDENCIO,,CAN,GABRIEL,
CHIMALTENANGO,PATZICIA,Síndico  II,LIDER,ESTANISLAO  XICAY PEROBAL,ESTANISLAO,,XICAY,PEROBAL,
CHIMALTENANGO,PATZICIA,Síndico Suplente,LIDER,AMBROSIO SOLOMAN SALOJ,AMBROSIO,,SOLOMAN,SALOJ,
CHIMALTENANGO,PATZICIA,Concejal I,LIDER,SILVERIO MARTIN SALOJ,SILVERIO,,MARTIN,SALOJ,
CHIMALTENANGO,PATZICIA,Concejal II,P P,ARMANDO YAC LOCH,ARMANDO,,YAC,LOCH,
CHIMALTENANGO,PATZICIA,Concejal III,P A N,FERMIN  PER BUCH,FERMIN,,PER,BUCH,
CHIMALTENANGO,PATZICIA,Concejal IV,VIVA-EG,JOSE MARIA CHOC SAMOL,JOSE,MARIA,CHOC,SAMOL,
CHIMALTENANGO,PATZICIA,Concejal V,UNE-GANA,OSE ABDIAS ESQUIT AJQUEJAY,OBE,ABDIAS,ESQUIT,AJQUEJAY,
CHIMALTENANGO,PATZICIA,Concejal Suplente I,LIDER,MISAEL ESQUIT AJSIVINAC,MISAEL,,ESQUIT,AJSIVINAC,
CHIMALTENANGO,PATZICIA,Concejal Suplente II,P P,GONZALO  MARTIN ZET,GONZALO,,MARTIN,ZET,
CHIMALTENANGO,SANTA CRUZ BALANYA,Alcalde,P P,EDGAR AUGUSTO COROY JUAREZ,EDGAR,AUGUSTO,COROY,JUAREZ,
CHIMALTENANGO,SANTA CRUZ BALANYA,Síndico  I,P P,OLEGARIO CHONAY PANIAGUA,OLEGARIO,,CHONAY,PANIAGUA,
CHIMALTENANGO,SANTA CRUZ BALANYA,Síndico  II,P P,FRANCISCO TOCAL COROY,FRANCISCO,,TOCAL,COROY,
CHIMALTENANGO,SANTA CRUZ BALANYA,Síndico Suplente,VACANTE,VACANTE,,,,,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal I,P P,ENIO OSWALDO JUAREZ ROQUEL,ENIO,OSWALDO,JUAREZ,ROQUEL,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal II,P P,HERLINDO ROCAEL CALI RAXJAL,HERLINDO,ROCAEL,CALI,RAXJAL,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal III,LIDER,PEDRO YAX QUEX,PEDRO,,YAX,QUEX,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal IV,LIDER,LUIS EDUARDO RAXJAL LOPEZ,LUIS,EDUARDO,RAXJAL,LOPEZ,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal Suplente I,P P,GERSON GERARDO TICHOC RUYAN,GERSON,GERARDO,TICHOC,RUYAN,
CHIMALTENANGO,SANTA CRUZ BALANYA,Concejal Suplente II,LIDER,LUIS EVERARDO  CHONAY SIRIN,LUIS,EVERARDO,CHONAY,SIRIN,
CHIMALTENANGO,ACATENANGO,Alcalde,UNE-GANA,SURIEL ABENAMAR MARROQUIN  SOTO,SURIEL,ABENAMAR,MARROQUIN,SOTO,
CHIMALTENANGO,ACATENANGO,Síndico  I,UNE-GANA,ELDER DAVID GALVEZ LANTAN,ELDER,DAVID,GALVEZ,LANTAN,
CHIMALTENANGO,ACATENANGO,Síndico  II,UNE-GANA,RODOLFO  SAGMOLO GOMEZ,RODOLFO,SAGMOLO,GOMEZ,,
CHIMALTENANGO,ACATENANGO,Síndico Suplente,VACANTE,VACANTE,,,,,
CHIMALTENANGO,ACATENANGO,Concejal I,UNE-GANA,HAROLDO HERLINDO TURCIOS GARCIA,HAROLDO,HERLINDO,TURCIOS,GARCIA,
CHIMALTENANGO,ACATENANGO,Concejal II,UNE-GANA,JUAN CARLOS ARANA MEDINA,JUAN,CARLOS,ARANA,MEDINA,
CHIMALTENANGO,ACATENANGO,Concejal III,P P,MARCO TULIO CHANCHO BACAJOL,MARCO,TULIO,CHANCHO,BACAJOL,
CHIMALTENANGO,ACATENANGO,Concejal IV,P P,JULIO RENE CAP OSORIO,JULIO,RENE,CAP,OSORIO,
CHIMALTENANGO,ACATENANGO,Concejal Suplente I,UNE-GANA,ORLANDO RIGOBERTO PENSAMIENTO MONTEPEQUE,ORLANDO,RIGOBERTO,PENSAMIENTO,MONTEPEQUE,
CHIMALTENANGO,ACATENANGO,Concejal Suplente II,P P,SAULO SANCHEZ PIC,SAULO,,SANCHEZ,PIC,
CHIMALTENANGO,YEPOCAPA,Alcalde,UNE-GANA,BERNABE  AJIN VICENTE,BERNABE,,AJIN,VICENTE,
CHIMALTENANGO,YEPOCAPA,Síndico  I,UNE-GANA,RIGOBERTO CHARUC TEMAL,RIGOBERTO,,CHARUC,TEMAL,
CHIMALTENANGO,YEPOCAPA,Síndico  II,UNE-GANA,MAXIMILIANO  UMUL XIA,MAXIMILIANDO,,UMUL,XIA,
CHIMALTENANGO,YEPOCAPA,Síndico Suplente,UNE-GANA,FLAVIO  COS SUJUY,FLAVIO,,COS,SUJUY,
CHIMALTENANGO,YEPOCAPA,Concejal I,UNE-GANA,MOISES  BAC MOX,MOISES,,BAC,MOX,
CHIMALTENANGO,YEPOCAPA,Concejal II,UNE-GANA,JOSUE SUJUY PONCIO,JOSUE,,SUJUY,PONCIO,
CHIMALTENANGO,YEPOCAPA,Concejal III,UNE-GANA,CARLOS ARNULFO TEJAX TEMAL,CARLOS,ARNULFO,TEJAX,TEMAL,
CHIMALTENANGO,YEPOCAPA,Concejal IV,UNE-GANA,CARLOS ORLANDO COS HERNANDEZ,CARLOS,ORLANDO,COS,HERNANDEZ,
CHIMALTENANGO,YEPOCAPA,Concejal V,P P,MAURICIO ZAMORA SAJAR,MAURICIO,,ZAMORA,SAJAR,
CHIMALTENANGO,YEPOCAPA,Concejal Suplente I,UNE-GANA,ANDRES ZAMORA,ANDREZ,,ZAMORA,,
CHIMALTENANGO,YEPOCAPA,Concejal Suplente II,UNE-GANA,EMILIO ILLU XIA,EMILIO,,ILLU,XIA,
CHIMALTENANGO,SAN ANDRES ITZAPA,Alcalde,LIDER,WUIFIDO TAGUAL,WUIFIDO,,TAGUAL,,
CHIMALTENANGO,SAN ANDRES ITZAPA,Síndico  I,LIDER,LANDULFO ARENALES MARTINEZ,LANDULFO,,ARENALES,MARTINEZ,
CHIMALTENANGO,SAN ANDRES ITZAPA,Síndico  II,LIDER,MARCOS SIQUINAJAY SAL,MARCOS,,SIQUINAJAY,SAL,
CHIMALTENANGO,SAN ANDRES ITZAPA,Síndico Suplente,LIDER,ALEJANDRO JOSE RODAS GOMEZ,ALEJANDRO,JOSE,RODAS,GOMEZ,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal I,LIDER,JORGE AMARILDO GOMEZ GARAVITO,JORGE,AMARILDO,GOMEZ,GARAVITO,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal II,LIDER,YAMILETH  ARENALES BARRERA,YAMILETH,,ARENALES,BARRERA,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal III,P P,ESLY MISAEL GUTIERREZ ZAMORA,ESLY,MISAEL,GUTIERREZ,ZAMORA,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal IV,UNE,MARIA LUISA POPOL LUX SANIC,MARIA,LUISA,POPOL,LUX SANIC,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal V,UCN,ALVARO  SILVA ACEVEDO,ALVARO,,SILVA,ACEVEDO,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal Suplente I,LIDER,TELMA ELIZABETH QUINAC BUCH,TELMA,ELIZABETH,QUINAC,BUCH,
CHIMALTENANGO,SAN ANDRES ITZAPA,Concejal Suplente II,P P,LONDY ZULIMA PEREZ MAZARIEGOS DE MENDOZA,LONDY,ZULIMA,PEREZ,MAZARIEGOS,MENDOZA
CHIMALTENANGO,PARRAMOS,Alcalde,UNE-GANA,FELICIANO  LICO ICHAJ,FELICIANO,,LICO,ICHAJ,
CHIMALTENANGO,PARRAMOS,Síndico  I,UNE-GANA,RICARDO SANCHEZ CARDENAS,RICARDO,,SANCHEZ,CARDENAS,
CHIMALTENANGO,PARRAMOS,Síndico  II,UNE-GANA,EDWIN ARMANDO GONZALEZ RODAS,EDWIN,ARMANDO,GONZALEZ,RODAS,
CHIMALTENANGO,PARRAMOS,Síndico Suplente,UNE-GANA,MARIA GREGORIA PAXAN,MARIA,GREGORIA,PAXAN,,
